09/20/2018 18:19:50+457335us LOEC <LO> LOEC_bind_handler > (function_code = 0x4c4fff03)
09/20/2018 18:19:50+457398us LOEC <LO> LOECAP_start_lot >>(lot_id=1093)
09/20/2018 18:19:50+465063us LOEC <LO> LODM_get_lot_data > ()
09/20/2018 18:19:50+466498us LOEC <LO> LODM_get_lot_data < () = OK
09/20/2018 18:19:50+466596us LOEC <LO> LODM_get_lot_align_data > ()
09/20/2018 18:19:50+469027us LOEC <LO> LODM_get_lot_align_data < () = OK
09/20/2018 18:19:50+469106us LOEC <LO> LODM_get_lot_level_data > ()
09/20/2018 18:19:50+469906us LOEC <LO> LODM_get_lot_level_data < () = OK
09/20/2018 18:19:50+469962us LOEC <LO> LODM_get_lot_seal_data > ()
09/20/2018 18:19:50+695563us LOEC <LO> LODM_get_lot_seal_data < () = OK
09/20/2018 18:19:50+697742us LOEC <LO> LOECAP_start_lot <(cell_index = 4, seg_id = 1, seg_type = 2, start_pos = (0.402241, 0.242038),end_pos = (0.402791, 0.242588), arc_center_pos = (0.402241, 0.242588), arc_angle = 1.570796,radius = 0.000550, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697774us LOEC <LO> LOECAP_start_lot <(cell_index = 4, seg_id = 2, seg_type = 1, start_pos = (0.402791, 0.242588),end_pos = (0.402791, 0.380408), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697808us LOEC <LO> LOECAP_start_lot <(cell_index = 4, seg_id = 3, seg_type = 2, start_pos = (0.402791, 0.380408),end_pos = (0.402341, 0.380858), arc_center_pos = (0.402341, 0.380408), arc_angle = 1.570796,radius = 0.000450, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697840us LOEC <LO> LOECAP_start_lot <(cell_index = 4, seg_id = 4, seg_type = 1, start_pos = (0.402341, 0.380858),end_pos = (0.333721, 0.380858), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697872us LOEC <LO> LOECAP_start_lot <(cell_index = 4, seg_id = 5, seg_type = 2, start_pos = (0.333721, 0.380858),end_pos = (0.333271, 0.380408), arc_center_pos = (0.333721, 0.380408), arc_angle = 1.570796,radius = 0.000450, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697905us LOEC <LO> LOECAP_start_lot <(cell_index = 4, seg_id = 6, seg_type = 1, start_pos = (0.333271, 0.380408),end_pos = (0.333271, 0.242588), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697951us LOEC <LO> LOECAP_start_lot <(cell_index = 4, seg_id = 7, seg_type = 2, start_pos = (0.333271, 0.242588),end_pos = (0.333821, 0.242038), arc_center_pos = (0.333821, 0.242588), arc_angle = 1.570796,radius = 0.000550, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697999us LOEC <LO> LOECAP_start_lot <(cell_index = 5, seg_id = 0, seg_type = 1, start_pos = (0.260744, 0.242004),end_pos = (0.329198, 0.242004), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+698045us LOEC <LO> LOECAP_start_lot <(cell_index = 5, seg_id = 1, seg_type = 2, start_pos = (0.329198, 0.242004),end_pos = (0.329748, 0.242554), arc_center_pos = (0.329181, 0.242588), arc_angle = 1.570796,radius = 0.000550, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+698087us LOEC <LO> LOECAP_start_lot <(cell_index = 5, seg_id = 2, seg_type = 1, start_pos = (0.329748, 0.242554),end_pos = (0.329748, 0.380443), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
